distancia,reflexao
5.934872,50.261
5.939953,50.249
5.945035,50.243
5.950116,50.252
5.955197,50.234
5.960278,50.259
5.965359,50.248
5.970441,50.245
5.975522,50.238
5.980603,50.238
5.985684,50.236
5.990766,50.234
5.995847,50.237
6.000928,50.218
6.006009,50.235
6.01109,50.24
6.016172,50.22
6.021253,50.227
6.026334,50.232
6.031415,50.208
6.036497,50.193
6.041578,50.207
6.046659,50.206
6.05174,50.216
6.056821,50.212
6.061903,50.214
6.066984,50.197
6.072065,50.202
6.077146,50.197
6.082228,50.195
6.087309,50.187
6.09239,50.196
6.097471,50.196
6.102553,50.198
6.107634,50.197
6.112715,50.2
6.117796,50.194
6.122877,50.186
6.127959,50.191
6.13304,50.19
6.138121,50.189
6.143202,50.188
6.148284,50.19
6.153365,50.179
6.158446,50.183
6.163527,50.175
6.168608,50.202
6.17369,50.178
6.178771,50.167
6.183852,50.178
6.188933,50.155
6.194015,50.153
6.199096,50.155
6.204177,50.153
6.209258,50.157
6.214339,50.139
6.219421,50.143
6.224502,50.144
6.229583,50.15
6.234664,50.141
6.239746,50.16
6.244827,50.14
6.249908,50.125
6.254989,50.148
6.260071,50.133
6.265152,50.137
6.270233,50.13
6.275314,50.128
6.280395,50.128
6.285477,50.14
6.290558,50.131
6.295639,50.127
6.30072,50.117
6.305802,50.127
6.310883,50.125
6.315964,50.144
6.321045,50.135
6.326126,50.112
6.331208,50.128
6.336289,50.132
6.34137,50.118
6.346451,50.115
6.351533,50.114
6.356614,50.126
6.361695,50.121
6.366776,50.089
6.371857,50.098
6.376939,50.105
6.38202,50.092
6.387101,50.097
6.392182,50.097
6.397264,50.102
6.402345,50.084
6.407426,50.092
6.412507,50.091
6.417589,50.094
6.42267,50.085
6.427751,50.083
6.432832,50.077
6.437913,50.083
6.442995,50.091
6.448076,50.092
6.453157,50.081
6.458238,50.084
6.46332,50.078
6.468401,50.073
6.473482,50.059
6.478563,50.069
6.483644,50.077
6.488726,50.057
6.493807,50.057
6.498888,50.054
6.503969,50.06
6.509051,50.058
6.514132,50.05
6.519213,50.054
6.524294,50.051
6.529375,50.049
6.534457,50.047
6.539538,50.049
6.544619,50.052
6.5497,50.059
6.554782,50.05
6.559863,50.052
6.564944,50.028
6.570025,50.037
6.575107,50.04
6.580188,50.025
6.585269,50.035
6.59035,50.024
6.595431,50.038
6.600513,50.024
6.605594,50.017
6.610675,50.025
6.615756,50.028
6.620838,50.01
6.625919,50.01
6.631,50.027
6.636081,50.013
6.641162,50.003
6.646244,50.022
6.651325,50.016
6.656406,50.001
6.661487,50.007
6.666569,50.005
6.67165,49.995
6.676731,49.996
6.681812,50.004
6.686894,49.991
6.691975,50.011
6.697056,50.005
6.702137,50.005
6.707218,49.993
6.7123,49.989
6.717381,49.997
6.722462,49.992
6.727543,49.984
6.732625,49.983
6.737706,49.985
6.742787,49.976
6.747868,49.974
6.752949,49.979
6.758031,49.962
6.763112,49.979
6.768193,49.966
6.773274,49.979
6.778356,49.968
6.783437,49.961
6.788518,49.965
6.793599,49.953
6.79868,49.966
6.803762,49.952
6.808843,49.957
6.813924,49.952
6.819005,49.934
6.824087,49.96
6.829168,49.924
6.834249,49.946
6.83933,49.956
6.844412,49.937
6.849493,49.941
6.854574,49.964
6.859655,49.959
6.864736,49.935
6.869818,49.935
6.874899,49.932
6.87998,49.942
6.885061,49.921
6.890143,49.924
6.895224,49.922
6.900305,49.926
6.905386,49.941
6.910467,49.93
6.915549,49.941
6.92063,49.929
6.925711,49.929
6.930792,49.92
6.935874,49.922
6.940955,49.898
6.946036,49.913
6.951117,49.906
6.956198,49.893
6.96128,49.902
6.966361,49.904
6.971442,49.899
6.976523,49.893
6.981605,49.887
6.986686,49.879
6.991767,49.88
6.996848,49.882
7.00193,49.875
7.007011,49.895
7.012092,49.883
7.017173,49.885
7.022254,49.873
7.027336,49.861
7.032417,49.866
7.037498,49.875
7.042579,49.872
7.047661,49.878
7.052742,49.876
7.057823,49.865
7.062904,49.885
7.067985,49.882
7.073067,49.877
7.078148,49.861
7.083229,49.877
7.08831,49.848
7.093392,49.854
7.098473,49.839
7.103554,49.853
7.108635,49.862
7.113716,49.866
7.118798,49.828
7.123879,49.823
7.12896,49.838
7.134041,49.829
7.139123,49.835
7.144204,49.826
7.149285,49.823
7.154366,49.828
7.159448,49.829
7.164529,49.826
7.16961,49.839
7.174691,49.817
7.179772,49.808
7.184854,49.814
7.189935,49.821
7.195016,49.818
7.200097,49.807
7.205179,49.807
7.21026,49.801
7.215341,49.805
7.220422,49.817
7.225503,49.805
7.230585,49.79
7.235666,49.791
7.240747,49.795
7.245828,49.795
7.25091,49.791
7.255991,49.796
7.261072,49.786
7.266153,49.786
7.271235,49.797
7.276316,49.787
7.281397,49.779
7.286478,49.785
7.291559,49.783
7.296641,49.796
7.301722,49.795
7.306803,49.789
7.311884,49.778
7.316966,49.793
7.322047,49.779
7.327128,49.771
7.332209,49.778
7.33729,49.78
7.342372,49.791
7.347453,49.775
7.352534,49.776
7.357615,49.777
7.362697,49.778
7.367778,49.76
7.372859,49.757
7.37794,49.75
7.383021,49.762
7.388103,49.745
7.393184,49.753
7.398265,49.758
7.403346,49.758
7.408428,49.746
7.413509,49.747
7.41859,49.742
7.423671,49.741
7.428753,49.758
7.433834,49.733
7.438915,49.721
7.443996,49.725
7.449077,49.735
7.454159,49.717
7.45924,49.721
7.464321,49.738
7.469402,49.727
7.474484,49.718
7.479565,49.705
7.484646,49.723
7.489727,49.733
7.494808,49.711
7.49989,49.717
7.504971,49.717
7.510052,49.732
7.515133,49.725
7.520215,49.726
7.525296,49.732
7.530377,49.704
7.535458,49.7
7.540539,49.714
7.545621,49.712
7.550702,49.701
7.555783,49.685
7.560864,49.684
7.565946,49.67
7.571027,49.689
7.576108,49.692
7.581189,49.696
7.586271,49.684
7.591352,49.685
7.596433,49.677
7.601514,49.673
7.606595,49.686
7.611677,49.67
7.616758,49.684
7.621839,49.674
7.62692,49.671
7.632002,49.668
7.637083,49.647
7.642164,49.657
7.647245,49.645
7.652326,49.652
7.657408,49.653
7.662489,49.647
7.66757,49.657
7.672651,49.646
7.677733,49.663
7.682814,49.65
7.687895,49.647
7.692976,49.643
7.698057,49.64
7.703139,49.658
7.70822,49.643
7.713301,49.644
7.718382,49.641
7.723464,49.631
7.728545,49.653
7.733626,49.629
7.738707,49.626
7.743789,49.618
7.74887,49.633
7.753951,49.639
7.759032,49.639
7.764113,49.609
7.769195,49.634
7.774276,49.615
7.779357,49.62
7.784438,49.612
7.78952,49.62
7.794601,49.618
7.799682,49.605
7.804763,49.619
7.809844,49.629
7.814926,49.596
7.820007,49.624
7.825088,49.608
7.830169,49.611
7.835251,49.608
7.840332,49.61
7.845413,49.588
7.850494,49.596
7.855576,49.59
7.860657,49.612
